,name,neighborhood,property_type,room_type,amenities,price
10,Modern Reed College Apartment,Reed,Entire rental unit,Entire home/apt,"[""Cooking basics"", ""Hair dryer"", ""Iron"", ""Kitchen"", ""Cable TV"", ""Dishes and silverware"", ""First aid kit"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Lockbox"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""TV with standard cable"", ""Fire extinguisher""]",165.0
11,Crash here! Comfortable & Welcoming,Maplewood,Private room in residential home,Private room,"[""Shampoo"", ""Essentials"", ""TV"", ""Smoke alarm"", ""Hangers"", ""Washer"", ""Kitchen"", ""Wifi"", ""Free parking on premises"", ""Air conditioning"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""First aid kit""]",58.0
12,Lovely Northwest 1 Bedroom,Northwest District,Entire condominium (condo),Entire home/apt,"[""Shampoo"", ""Essentials"", ""Kitchen"", ""Cable TV"", ""Hangers"", ""Washer"", ""TV with standard cable"", ""Smoke alarm"", ""Wifi"", ""Dryer"", ""Long term stays allowed"", ""Elevator"", ""Heating"", ""Dedicated workspace"", ""Hair dryer"", ""Fire extinguisher"", ""Carbon monoxide alarm""]",85.0
13,The perfect spot!,Sellwood-Moreland Improvement League,Entire guesthouse,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Smart lock"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Hangers"", ""Wifi"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Air conditioning"", ""Bed linens"", ""Dishwasher"", ""Baking sheet""]",70.0
14,Charming Four Square.   Pet friendly.,Sunnyside,Entire residential home,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Barbecue utensils"", ""Keypad"", ""Extra pillows and blankets"", ""Smart lock"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Bed linens"", ""Window AC unit"", ""Dishwasher"", ""Baking sheet"", ""BBQ grill"", ""Fire extinguisher"", ""Patio or balcony""]",250.0
15,"Pearl District Condo | Quiet, clean, contemporary",Pearl,Entire condominium (condo),Entire home/apt,"[""Portable fans"", ""Single level home"", ""Clothing storage: closet and walk-in closet"", ""Security cameras on property"", ""Laundromat nearby"", ""Coffee maker"", ""Waterfront"", ""Elevator"", ""Paid parking garage on premises \u2013 1 space"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""JBL Bluetooth sound system"", ""Kitchen"", ""Microwave"", ""Barbecue utensils"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""BBQ grill"", ""Shared garden or backyard"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Hangers"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Dryer"", ""Paid street parking off premises"", ""EV charger"", ""Long term stays allowed"", ""Lockbox"", ""Heating"", ""Cleaning products"", ""Outdoor furniture"", ""Gym"", ""Private entrance"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Air conditioning"", ""Room-darkening shades"", ""HDTV with Netflix, HBO Max, Apple TV, Roku"", ""Freezer"", ""Toaster"", ""Bed linens"", ""Dining table"", ""Dishwasher"", ""Baking sheet"", ""Outdoor dining area"", ""Rice maker"", ""Fire extinguisher"", ""Patio or balcony""]",97.0
16,Cozy Nest in the Heart of Portland,Goose Hollow,Entire condominium (condo),Entire home/apt,"[""Security cameras on property"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""TV"", ""Kitchen"", ""Microwave"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Lockbox"", ""Luggage dropoff allowed"", ""Heating"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Paid parking off premises"", ""Fire extinguisher"", ""Patio or balcony""]",53.0
17,Hip & Modern on SE Division St - Foodie Paradise!,Hosford-Abernethy,Entire townhouse,Entire home/apt,"[""Outlet covers"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Lockbox"", ""Private patio or balcony"", ""Heating"", ""Private entrance"", ""High chair"", ""Essentials"", ""Smoke alarm"", ""Bathtub"", ""Washer"", ""Oven"", ""Air conditioning"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Dishwasher"", ""Children\u2019s dinnerware"", ""Baby safety gates"", ""Fire extinguisher""]",175.0
18,Woodlawn Haven - 2 Comfy Rooms + Bath in Nice Home,Woodlawn,Private room in residential home,Private room,"[""Indoor fireplace"", ""Shampoo"", ""TV"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""Kitchen"", ""Free parking on premises"", ""Wifi"", ""Air conditioning"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Gym"", ""Fire extinguisher"", ""First aid kit"", ""Carbon monoxide alarm""]",59.0
19,LUX Lava Lounge in downtown Kenton.,Kenton,Entire rental unit,Entire home/apt,"[""Portable fans"", ""Varies body soap"", ""Laundromat nearby"", ""Outdoor dining area"", ""Varies conditioner"", ""Coffee maker"", ""Cooking basics"", ""Board games"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Fire pit"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Barbecue utensils"", ""Free driveway parking on premises \u2013 1 space"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""Central air conditioning"", ""First aid kit"", ""Carbon monoxide alarm"", ""Electric stove"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Private fenced garden or backyard"", ""Hangers"", ""Shower gel"", ""50\"" HDTV with Amazon Prime Video, Netflix, Roku, standard cable"", ""Wifi"", ""I Home for Iphone sound system with aux"", ""Hot water"", ""Wine glasses"", ""Long term stays allowed"", ""Pool table"", ""Lockbox"", ""Private patio or balcony"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Outdoor furniture"", ""Private entrance"", ""Essentials"", ""Smoke alarm"", ""Oven"", ""Toaster"", ""Room-darkening shades"", ""Freezer"", ""Dedicated workspace: table, office chair, and desk"", ""Bed linens"", ""Central heating"", ""Dishwasher"", ""Dining table"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""BBQ grill"", ""Fire extinguisher""]",118.0
20,Gorgeous craftsman in Sellwood!,Sellwood-Moreland Improvement League,Entire residential home,Entire home/apt,"[""Indoor fireplace"", ""Shampoo"", ""Essentials"", ""Kitchen"", ""Cable TV"", ""Hangers"", ""Washer"", ""TV with standard cable"", ""Smoke alarm"", ""Wifi"", ""Free parking on premises"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Dedicated workspace"", ""Fire extinguisher"", ""First aid kit"", ""Carbon monoxide alarm""]",399.0
21,North Tabor Nest: Beautiful Private Apartment,North Tabor,Entire rental unit,Entire home/apt,"[""Ethernet connection"", ""Coffee maker"", ""Cooking basics"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Air conditioning"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Dishwasher"", ""Baking sheet"", ""Fire extinguisher"", ""Patio or balcony""]",90.0
22,Furnished Condo in heart of the Alphabet District,Northwest District,Entire rental unit,Entire home/apt,"[""Coffee maker"", ""Elevator"", ""Cooking basics"", ""Dedicated workspace"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Lockbox"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Air conditioning"", ""Dishwasher"", ""Fire extinguisher""]",60.0
23,5428 B - Interstate Max Line Monthly,Overlook,Entire rental unit,Entire home/apt,"[""Cooking basics"", ""Dedicated workspace"", ""Iron"", ""TV"", ""Kitchen"", ""Smart lock"", ""First aid kit"", ""Carbon monoxide alarm"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Air conditioning"", ""Bed linens"", ""Fire extinguisher""]",50.0
24,5422 B- interstate Max Line,Overlook,Entire rental unit,Entire home/apt,"[""TV"", ""Kitchen"", ""Smoke alarm"", ""Washer"", ""Free parking on premises"", ""Keypad"", ""Wifi"", ""Air conditioning"", ""Dryer"", ""Long term stays allowed"", ""Dishes and silverware"", ""Heating"", ""Cooking basics"", ""Fire extinguisher"", ""First aid kit"", ""Carbon monoxide alarm""]",50.0
25,LONG TERM LUXURY IN THE PEARL,Pearl,Entire condominium (condo),Entire home/apt,"[""Single level home"", ""Coffee maker"", ""Elevator"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Essentials"", ""Smoke alarm"", ""Bathtub"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Air conditioning"", ""Paid parking off premises"", ""Dishwasher"", ""Fire extinguisher"", ""Patio or balcony""]",93.0
26,Modern Guest House - Concordia,Concordia,Entire guest suite,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Keypad"", ""Dishes and silverware"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Air conditioning"", ""Fire extinguisher""]",109.0
27,Charming NoPO 2200 sq ft Condo,Piedmont,Private room in townhouse,Private room,"[""Indoor fireplace"", ""Shampoo"", ""Essentials"", ""TV"", ""Smoke alarm"", ""Washer"", ""Kitchen"", ""Free parking on premises"", ""Wifi"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""First aid kit"", ""Carbon monoxide alarm""]",100.0
28,Lovely FURNISHED riverfront condo,Pearl,Entire condominium (condo),Entire home/apt,"[""Elevator"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Kitchen"", ""Cable TV"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Gym"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""TV with standard cable"", ""Air conditioning"", ""Bed linens"", ""Fire extinguisher""]",167.0
29,Sunnyside Sanctuary_Belmont/Hawthorne/Laurelhurst,Sunnyside,Entire residential home,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""Hot tub"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Bed linens"", ""Dishwasher"", ""Fire extinguisher""]",300.0
30,Nan's North Portland Crepe Myrtle Cottage,Boise,Entire residential home,Entire home/apt,"[""Single level home"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Air conditioning"", ""Bed linens"", ""Baking sheet"", ""BBQ grill"", ""Patio or balcony""]",65.0
31,Contemporary Private Accommodations,South Burlingame,Entire guest suite,Entire home/apt,"[""Single level home"", ""Security cameras on property"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Clothing storage: closet"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Extra pillows and blankets"", ""Body soap"", ""Smart lock"", ""Dishes and silverware"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Private patio or balcony"", ""Heating"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Conditioner"", ""Private entrance"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""TV with standard cable"", ""Free parking on premises"", ""Air conditioning"", ""Toaster"", ""Freezer"", ""Bed linens"", ""Dining table"", ""Fire extinguisher"", ""Keurig coffee machine""]",135.0
32,Quiet Neighborhood near Glendoveer,Wilkes,Entire residential home,Entire home/apt,"[""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Kitchen"", ""Cable TV"", ""First aid kit"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Lockbox"", ""Heating"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""TV with standard cable"", ""Air conditioning"", ""Fire extinguisher""]",135.0
33,Sabin Neighborhood home-month to month rental,King,Entire rental unit,Entire home/apt,"[""Dedicated workspace"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Host greets you"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""TV with standard cable"", ""Fire extinguisher""]",85.0
34,Becky's Backyard Cottage near Mt Tabor,South Tabor,Entire cottage,Entire home/apt,"[""Single level home"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Barbecue utensils"", ""Keypad"", ""Extra pillows and blankets"", ""Body soap"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Clothing storage"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""EV charger"", ""Long term stays allowed"", ""Private patio or balcony"", ""Heating"", ""Outdoor furniture"", ""Private entrance"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Free parking on premises"", ""Air conditioning"", ""Toaster"", ""Freezer"", ""Bed linens"", ""Dining table"", ""Outdoor dining area"", ""BBQ grill"", ""Fire extinguisher""]",48.0
35,"Enjoy convenience &  class, Portland, OR",South Portland,Entire loft,Entire home/apt,"[""Security cameras on property"", ""Ethernet connection"", ""Coffee maker"", ""Waterfront"", ""Elevator"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Cleaning before checkout"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Cleaning products"", ""Private entrance"", ""Building staff"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Bathtub"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Air conditioning"", ""Room-darkening shades"", ""Bed linens"", ""Dishwasher"", ""BBQ grill"", ""Fire extinguisher"", ""Patio or balcony""]",75.0
36,Female Dorm Room: Bunk Top by Window,Powellhurst-Gilbert,Shared room in townhouse,Shared room,"[""Portable fans"", ""Laundromat nearby"", ""Washer \u2013\u00a0In building"", ""Piano"", ""Coffee maker"", ""Dedicated workspace: desk"", ""Cooking basics"", ""Board games"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Game console: Nintendo Switch, Nintendo Wii, and Nintendo Wii U"", ""Kitchen"", ""Microwave"", ""Barbecue utensils"", ""Keypad"", ""Cleaning before checkout"", ""Extra pillows and blankets"", ""Bidet"", ""Drying rack for clothing"", ""Dishes and silverware"", ""39\"" TV with standard cable"", ""BBQ grill"", ""First aid kit"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Private fenced garden or backyard"", ""Hangers"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""GE oven"", ""Long term stays allowed"", ""Private patio or balcony"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Ceiling fan"", ""Outdoor furniture"", ""Dryer \u2013 In building"", ""GE gas stove"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Bathtub"", ""Air conditioning"", ""Clothing storage: wardrobe, walk-in closet, and dresser"", ""Room-darkening shades"", ""Freezer"", ""TWO Refrigerators (1 in garage) refrigerator"", ""Bed linens"", ""Central heating"", ""Dishwasher"", ""Dining table"", ""Toaster"", ""Baking sheet"", ""Rice maker"", ""Fire extinguisher""]",19.0
